102,386,1,53,79,normal
864,917,17,53,20,anomaly
940,128,6,68,443,normal
509,904,17,80,79,normal
906,749,17,80,80,normal
331,847,17,53,20,normal
393,497,17,79,443,normal
394,783,6,23,53,normal
918,441,6,53,79,normal
868,742,17,80,23,normal
359,937,17,22,53,normal
968,252,1,23,22,normal
352,580,89,443,53,normal
779,961,17,80,80,normal
451,615,1,23,53,normal
262,533,6,80,25,normal
964,86,17,22,53,normal
732,116,17,80,79,normal
206,222,17,53,20,normal
172,707,1,23,25,normal
687,637,6,20,23,normal
923,346,6,443,80,normal
766,595,6,80,20,normal
760,390,6,80,53,normal
669,440,6,443,22,normal
662,330,17,20,23,normal
95,343,89,80,53,normal
446,104,6,20,25,normal
916,902,17,443,53,normal
377,889,17,23,25,normal
70,49,17,53,53,normal
616,452,17,80,53,normal
476,640,17,53,68,normal
795,992,6,443,20,normal
524,527,17,20,23,normal
338,268,17,53,23,normal
30,481,6,80,22,normal
486,636,17,443,25,normal
914,529,17,53,20,normal
49,766,17,68,25,normal
877,678,6,25,22,normal
977,141,1,22,80,normal
365,35,6,20,79,normal
755,274,17,53,80,normal
603,72,17,443,68,normal
690,272,6,79,53,normal
199,846,17,80,23,normal
320,168,17,79,80,normal
716,819,6,80,25,normal
983,37,6,20,443,normal
822,542,17,20,53,normal
370,38,6,20,53,normal
280,189,17,20,443,normal
459,8,6,22,53,normal
295,737,1,20,80,normal
225,401,6,53,53,normal
538,673,17,80,53,normal
656,183,6,68,443,normal
515,669,17,25,53,normal
893,936,6,80,80,normal
196,476,1,79,53,normal
908,216,17,20,443,normal
610,587,6,23,23,normal
808,501,17,22,68,normal
660,624,6,80,23,normal
628,895,17,80,20,normal
861,573,6,80,80,normal
620,876,6,443,53,normal
789,101,17,68,53,normal
518,211,6,443,22,normal
1000,778,17,443,80,normal
227,272,17,20,80,normal
452,69,17,22,68,normal
32,512,6,20,53,normal
857,287,17,80,53,normal
182,79,6,25,25,normal
557,361,1,23,22,normal
726,652,17,53,25,normal
118,981,17,53,80,normal
174,582,17,68,79,normal
732,807,17,68,25,normal
91,305,6,23,25,normal
459,850,1,53,53,normal
287,474,6,53,22,normal
938,413,6,80,23,normal
786,993,17,53,80,normal
945,726,6,80,83,anomaly
932,852,17,80,25,normal
584,50,6,23,443,normal
910,215,17,443,25,normal
974,659,17,79,22,normal
256,204,17,53,23,normal
949,528,6,79,53,normal
831,162,17,20,25,normal
445,968,6,22,80,normal
289,467,6,68,80,normal
867,238,6,22,25,normal
100,88,17,22,80,normal
784,684,6,80,53,normal
43,188,6,22,80,normal
447,143,89,20,443,normal
473,507,17,25,79,normal
62,784,17,20,53,normal
642,378,17,443,443,normal
963,167,17,68,53,normal
628,810,17,20,53,normal
600,326,6,53,80,normal
389,524,89,22,443,normal
810,153,6,80,443,normal
562,409,6,53,53,normal
785,752,6,22,23,normal
40,353,1,53,22,normal
111,786,6,53,23,normal
