381,273,17,25,53
899,475,1,23,20
589,950,17,79,25
372,317,17,443,68
917,254,6,443,443
480,384,6,53,80
523,684,6,22,23
651,636,17,53,53
54,390,17,443,80
377,124,89,53,79
166,336,17,53,80
248,616,17,53,20
209,852,17,80,80
580,697,17,20,443
875,261,17,23,25
924,216,17,443,443
1946,172,17,22,80
755,289,6,53,53
895,636,17,23,53
365,450,1,53,20
888,56,17,22,80
96,471,1,80,80
24,966,17,443,25
291,755,17,80,23
188,916,6,443,53
317,621,17,80,79
572,949,17,20,79
311,433,6,80,22
689,50,17,80,22
157,732,1,23,25
643,577,6,443,22
339,637,6,80,80
282,888,17,80,80
15,252,17,53,53
774,704,6,80,20
761,74,17,25,53
687,847,6,25,80
29,231,17,79,22
749,800,89,23,80
299,190,1,80,53
21,995,17,79,23
680,745,17,20,80
237,235,6,53,23
754,54,17,20,68
100,858,17,53,20
415,639,1,53,80
143,206,6,25,20
195,150,17,80,53
26,320,6,23,443
577,820,6,443,23
11,288,6,22,20
83,716,17,23,80
99,103,6,22,53
110,572,6,80,22
307,250,6,80,22
876,797,6,22,53
84,949,17,25,20
350,224,17,20,80
802,445,6,80,22
570,174,17,20,23
520,104,17,443,80
485,837,6,20,79
203,834,6,23,443
480,336,6,443,22
633,264,17,23,23
204,187,17,20,443
842,408,17,23,25
424,806,17,53,23
491,427,6,25,53
556,54,6,443,20
576,964,6,22,22
194,992,17,20,80
366,401,17,80,53
361,862,6,25,23
108,782,17,20,53
991,357,1,53,443
717,775,6,53,22
91,209,89,80,20
735,571,6,80,68
632,292,89,22,79
73,456,6,80,80
779,155,17,22,53
461,236,6,23,443
82,181,17,20,20
270,86,6,53,22
902,65,17,80,53
70,219,6,80,53
616,411,6,80,22
29,310,6,23,23
932,343,6,80,80
814,392,6,20,53
733,858,17,53,53
538,653,17,80,25
753,258,6,22,20
179,944,6,53,22
354,835,6,53,79
130,893,89,23,20
362,585,6,22,68
595,279,6,443,443
386,90,6,53,79
568,28,17,20,80
555,790,17,53,80
630,365,6,443,23
179,698,1,80,80
93,9,6,79,80
653,942,17,23,443
342,696,17,53,80
161,884,6,53,79
584,598,17,443,443
430,621,6,25,80
390,483,17,80,25
438,123,17,80,23
345,855,6,20,20
256,880,17,22,22
378,348,17,25,20
694,676,17,443,22
435,318,6,53,25
231,256,6,443,79
183,335,6,80,80
263,419,6,23,80
409,202,17,20,23
778,2,6,23,23
708,906,17,20,20
141,247,17,79,443
590,945,17,22,53
143,921,1,80,53
781,421,17,80,53
546,281,1,23,80
892,251,17,68,25
248,733,1,68,22
994,403,17,23,53
363,277,6,443,23
795,585,6,23,53
573,458,6,443,79
250,427,6,20,25
324,865,17,68,53
774,562,17,25,53
792,436,1,53,53
322,893,1,22,20
35,401,17,80,25
779,568,1,53,53
741,280,17,22,79
134,771,6,25,25
476,945,1,23,80
553,150,6,53,80
435,83,17,80,53
756,756,17,443,443
13,912,17,25,22
641,235,17,80,80
817,18,6,22,53
167,230,6,20,80
116,304,6,22,20
380,350,17,23,53
201,344,6,53,25
158,784,6,53,80
659,317,6,80,80
864,894,17,53,22
732,292,6,53,68
466,658,17,68,443
642,519,1,53,79
376,436,1,25,53
48,794,6,79,23
636,828,6,80,80
994,72,17,22,80
328,886,6,22,20
41,930,6,25,443
774,297,17,20,79
593,278,6,79,80
725,939,6,80,443
8,166,6,23,53
937,462,6,23,23
149,320,1,23,53
170,807,17,23,53
586,28,6,443,53
91,240,6,23,25
983,240,6,25,53
33,392,17,25,53
332,193,17,80,25
861,141,17,80,443
663,602,6,53,443
423,508,17,20,25
895,52,6,22,443
299,650,6,23,23
974,693,17,68,20
479,379,1,79,80
415,588,17,20,443
743,52,17,53,22
829,506,17,443,53
404,541,17,79,79
743,656,6,20,68
976,36,6,53,53
579,437,6,79,53
726,227,1,79,79
176,564,17,25,23
383,889,17,20,53
338,774,17,20,53
410,805,6,79,20
921,285,17,25,443
313,719,6,25,53
925,469,1,25,80
27,941,6,25,20
443,933,17,20,23
932,635,89,23,80
804,981,17,23,53
63,990,6,22,80
223,484,17,53,80
182,993,6,25,53
547,372,17,20,443
651,863,1,22,443
951,300,17,53,25
697,412,17,22,79
647,273,17,20,22
399,572,6,25,443
881,752,89,25,53
822,591,6,79,23
248,192,6,20,25
628,896,6,53,443
84,794,6,80,443
195,822,6,23,80
625,526,6,80,53
68,892,6,23,53
514,260,1,68,22
44,824,17,80,79
263,423,89,53,443
801,917,6,79,22
39,415,89,53,20
453,820,17,22,80
747,253,6,79,20
208,698,6,20,443
750,724,17,80,25
516,501,17,22,53
509,62,6,53,20
125,671,6,25,53
668,21,6,23,23
195,858,17,53,53
10,821,6,443,53
450,737,6,22,23
444,339,17,53,23
205,752,6,80,22
833,315,17,80,53
486,371,17,23,443
954,138,17,68,443
766,679,17,20,80
908,56,6,53,80
755,377,17,20,80
888,802,17,80,20
181,559,17,53,80
477,25,1,53,25
566,367,17,53,53
893,735,89,25,443
198,260,6,53,80
36,782,17,443,443
209,925,6,79,53
824,243,6,25,23
860,158,6,68,23
141,353,6,80,25
